reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
5bd2cb2d-981f-499b-8287-e3d91df21da9,Liyana nuryati,https://play-lh.googleusercontent.com/a/ACg8ocJPHPRszuVy0wJ2jCthNzVHWBveQCYIK9T7kZB1fpGRwBldmA=mo,"maaf kasi rating 1. Karena shope benar-benar mengecewakan sekarang. aplikasi berat tidak juga dibuat ringan,tiap buka aplikasi pasti auto kebuka video/live sangat mengganggu,tiap mau klaim voucher selalu lemot padahal jaringan stabil, belum klaim sudah habis. Tahunan pakai shopee,baru sekarang kecewa,mohon diperbaiki aplikasinya terimakasih 🙏",1,23,3.48.28,2025-04-23 05:25:57,"Hi kak Liyana nuryati, maafudah buat gak nyaman. Aku saranin kakak bisa pastikan sudah gunakan aplikasi terbaru dan clear cache aplikasi kakak. Terkait kendala yg dialami akan dijadikan evaluasi agar performa aplikasi Shopee semakin baik ke depan nya. Kalo ada kendala, kakak bisa hubungi DM IG di @shopee_id ya. Stay safe kak ^NS",2025-04-23 06:35:08
7f543a99-8ada-4dc5-9cca-dd95ef00eec8,Triputranto,https://play-lh.googleusercontent.com/a-/ALV-UjXxKs8u3GYrnvBy0RT3tryHVjnPuqJx42x4akQxVk-JxGAUIEhy,Setiap aplikasi dibuka selalu muncul video yg menggangu. Sudah aku atur biar tidak muncul tp masih selalu muncul. Mengganggu sekali apalagi pas keadaan volume hpnya di setelan maksimal.,1,13,3.48.28,2025-04-23 17:51:50,"Hi Kak Triputranto , maaf ya untuk kendala aplikasi yang kurang baik. aku saranin Kakak memperbarui aplikasi Shopee ya, pastiin juga jaringan internet dalam keadaan yang stabil dan lakukan Clear Cache pada aplikasi Shopeemu ya. Kalo masih ada kendala atau pertanyaan lain terkait Shopee bisa DM aku di IG @Shopee_ID ya Kak.Sehat selalu ^XK",2025-04-23 18:26:50
d907638e-4c4c-4ac7-9747-7dd5e505b1b1,Deni Setiawan,https://play-lh.googleusercontent.com/a-/ALV-UjXezgatjk324V1Cia4JxYk6fN74x4pvu1guSxK-cihSuK9WCusu,"Shopee Video sangat mengganggu, ketika membuka aplikasi langsung ditujukan ke Shopee video bukan ke Home lagi, ini membuat aplikasi menjadi berat bahkan ketika mengklik produk dan ada tampilan live nya ini membuat layar ngefreeze. Padahal smartphone saya cukup bagus spesifikasinya.",3,8,3.48.28,2025-04-23 14:04:35,"Hi Kak Deni Setiawan , maaf bgt ya buat kmu resah terkait kendala aplikasimu. Aku saranin Kk bisa lakukan clear chace dg cara masuk ke Akun Shopee> menu ""Saya"" > ""Pengaturan Akun""> ""Tentang""> ""Hapus Cache"". Klo masih terkendala mohon hubungi kami dg memberikan SS review ini DM IG Social Media kita @shopeecare_id  ya. Stay safe ^GS",2025-04-23 15:48:43
0057342d-0471-4b03-bee5-c039e7cfc3da,adspro aditya,https://play-lh.googleusercontent.com/a-/ALV-UjUJVAnCTB4vb0Eh6m6NxhuVpovvq63LM7Zq66iNvBvk0N9FnlNQ,"Harga sangat bersaing dgn aplikasi belanja lainnya, tapi sayangnya menu/isi di dlm aplikasi ini terlalu banyak sehingga agak berat/lambat ketika dlm proses untuk berpindah ke menu lainnya. Ongkirnya pun oke banget loh.....",4,7,3.47.39,2025-04-23 11:15:34,"Hi kak adspro aditya, makasih ya buat bintang dan review nya. Semoga kakak nyaman dan puas belanja di Shopee. Shopee akan terus berusaha untuk meningkatkan kualitas pelayanan dan performa Aplikasi untuk seluruh pengguna Shopee. Kalo ada pertanyaan terkait Shopee, jangan ragu buat hubungi DM IG di @shopee_id / @shopeecare_id ya. Stay safe kak ^NS",2025-04-23 12:31:20
38f40f88-d81e-4b06-9dba-31957712618f,[ADIT] アディティア (Aditya),https://play-lh.googleusercontent.com/a-/ALV-UjVeKFim-5xyVrUIwlmksYU9jPUcUZorwq-SZq5PNqU9vtFOqE-E,"Shopee semakin lama semakin menurun kualitas nya pengiriman menjadi lama, barang rusak, tidak ada gunanya garansi tepat waktu mending beli di tiktok shop aja atau lazada lebih cepat walaupun tidak ada garansi tepat waktu tapi tepat sesuai tanggal barangnya sampai dari pada shopee walaupun ada garansi tepat waktu tapi gak sesuai datangnya lebih lama dari perkiraan mohon kalau bisa Shopee tingkatkan lah",2,16,3.48.28,2025-04-22 12:46:49,,
54df2b65-5871-472a-b37a-c2dd32bb35c8,Dide Naufal,https://play-lh.googleusercontent.com/a/ACg8ocJhqd9oPiVyivLVeJi2ExpxKXQPdMB9dhmFkQtmQqww_taieA=mo,"tolong jika status pesanan sudah ""Dalam pengantaran ke alamat tujuan"". seharusnya nama dan nomor tif kurir sudah tercantum di Apk, agar pelanggan dan kurir bisa komunikasi, sehingga pengantaran dan penerimaan barang lebih efektif. update status pesanan harusnya bisa realtime antara posisi maps di apk dan status pesanan",5,4164,3.47.39,2025-04-07 04:32:26,"Hai kak Dide Naufal, maaf ya buat kamu gak nyaman terkait kendala yang kakak alami. Feedback dari kakak akan aku jadiin masukan agar pelayanan Shopee semakin lebih baik kedepannya dan semua pelanggan Shopee mendapatkan pelayanan yg memuaskan. Jika ada kendala/pertanyaan lainnya bisa DM IG @Shopee_id/@Shopeecare_id yaa kak. Sehat selalu ^NZ",2025-04-07 05:20:14
7715dc01-7306-420f-b03f-f53cb8c485b5,Rogens,https://play-lh.googleusercontent.com/a-/ALV-UjUXompaKYLSCntf3qQnILdfwO07lcmuUs3iPKXpA1GZkyYFozXM,"Blanja pke jasa kirim SPX pengirimannya super lambat, barang2 tdk terjaga dgn baik. Barang2 yg rawan pecah berisko akan rusak saat diterima. Selama berbelanja online, baru kali ini barang yg dipesan selalu tertahan lama di Palembang DC dan ujung2nya barang yg dipesan gak nyampe ke penerima & pada akhirnya dinyatakan hilang. Dan saat ini saya sedang menunggu pesanan saya dan ini kejadian yg kedua kalinya lagi2 tertahan di Palembang DC & tdk ada pergerakan!",1,22,3.48.28,2025-04-22 15:19:24,"Hii kak Rogens , maaf ats kendala pesanan yg km alami, agar ak bisa bntu cek infoin Username dan No pesanan ya, jangan sungkan DM IG aku di @Shopee_id / @Shopeecare ya, sehat selalu ^RA",2025-04-22 16:20:49
a60fb0c5-2ed3-4398-bbff-57f7a71b113f,Khasan Nm,https://play-lh.googleusercontent.com/a-/ALV-UjXD4FB7Y-uts8eyA5bqFgwSiEgWuWt_1qcLYBQZkj0EIR9pGbg,"Onclick BCA tiba-tiba hilang, pas mau ditambahkan lagi keterangannya ""Nomor ini sudah terdaftar"". Dicek di BCA memang masih tertaut sama Shopee dan ShopeePay, tapi di aplikasi Shopee-nya nggk ada 🥶😌😤 Mana lagi urgent!. Sudah kuhapus dan kutambahkan ulang, tapi sampai sekarang tidak bisa. 🫤",1,8,3.48.28,2025-04-22 23:32:03,"Hi Kak Khasan Nm, maaf ya udah buat kakak risau terkait kendala yang kakak alami. Supaya bisa aku bantu pengecekan lebih lanjut, kakak bisa infoin ke aku username dan detail kendala, dan SS kendalanya melalui DM ke IG aku ya, di @shopee_id / @shopeecare_id ya, sehat selalu ya kak ^XI",2025-04-23 00:54:20
14ab148d-c9a4-4800-bef5-71443c668e04,Aldi Lugina,https://play-lh.googleusercontent.com/a-/ALV-UjWm4Mhz1dPppzUMY0S5XUXeFEEqTkTsDmqsdOmw8R07xFUksGW1,"tiba-tiba pesanan dibatalkan dengan keterangan aktivitas tidak wajar, saya tanya ke CS tidak ada yg membantu. Sudah baca berulang syarat & ketentuan, jawabannya pun tetap template dan tetap tidak terbantu. Tidak ada solusi yang diberikan. Sudah berulang kali mencoba tetap terbatalkan.",1,14,3.47.40,2025-04-22 03:36:29,"Hi kak Aldi Lugina, maaf ya atas ketidaknyamannya terkait pembatalan pesanan kakak, aku infoin pastikan kakak selalu mengikuti syarat & ketentuan yang berlaku sebelum membuat pesanan ya agar agar bisa aku bntu cek, boleh infoin username shopee dan nomor pesanan melalui DM di Shopee Id, aku tunggu ya kak, Terimakasih telah menghubungi Shopee^NC",2025-04-22 03:33:46
454e106d-923c-4773-b343-7aea43f3365a,Kalang Pangentas,https://play-lh.googleusercontent.com/a-/ALV-UjVEfcGVg4GqcdkH5g2UTrbjXFgwbsWAhCvLax8yoAR1LS1Y7wo0,"setelah update baru2 ini, saat buka shopee langsung disuguhi video dan live, itu membuat aplikasi menjadi sangat berat, apa itu dibutuhkan? dibeberapa hp akan terjadi crash, mungkin dikembalikan ke default/home saja saat pertama kali membuka aplikasi, kebanyakan video dimana2 membuat aplikasi menjadi sangat berat",1,228,3.47.39,2025-04-08 04:03:27,,
